anio,trazabilidad,departamento,tipo,modalidad,contratos,valor,nombre_geojson
2018.0,Departamento único,Casanare,Consultoría,Concurso de méritos abierto,1,1103410340.0,CASANARE
2018.0,Departamento único,Casanare,Interventoría,Concurso de méritos abierto,1,353190318.0,CASANARE
2018.0,Departamento único,Casanare,Obra,Mínima cuantía,6,296317517.0,CASANARE
2018.0,Departamento único,Casanare,Obra,Selección Abreviada de Menor Cuantía,2,594396029.0,CASANARE
2018.0,Departamento único,Casanare,Prestación de servicios,Mínima cuantía,2,57902594.0,CASANARE
2018.0,Departamento único,Casanare,Suministros,Mínima cuantía,1,5652500.0,CASANARE
2018.0,Departamento único,Cauca,Interventoría,Concurso de méritos abierto,4,1636674704.0,CAUCA
2018.0,Departamento único,Cauca,Interventoría,Mínima cuantía,2,123623257.0,CAUCA
2018.0,Departamento único,Cauca,Obra,Contratación Directa (con ofertas),1,13026230310.94,CAUCA
2018.0,Departamento único,Cauca,Obra,Selección Abreviada de Menor Cuantía,2,1596526135.0,CAUCA
2018.0,Departamento único,Cesar,Acuerdo Marco de Precios,Licitación pública,1,12367342090.0,CESAR
2018.0,Departamento único,Cesar,Interventoría,Concurso de méritos abierto,2,2794045925.0,CESAR
2018.0,Departamento único,Cesar,Interventoría,Mínima cuantía,1,46408590.4,CESAR
2018.0,Departamento único,Cesar,Obra,Contratación directa,1,3150000000.0,CESAR
2018.0,Departamento único,Cesar,Otro,Contratación directa,1,350000000.0,CESAR
2018.0,Departamento único,Cesar,Prestación de servicios,Mínima cuantía,1,74970000.0,CESAR
2018.0,Departamento único,Chocó,Interventoría,Concurso de méritos abierto,2,220988533.0,CHOCO
2018.0,Departamento único,Chocó,Obra,Mínima cuantía,1,30000000.0,CHOCO
2018.0,Departamento único,Chocó,Obra,Selección Abreviada de Menor Cuantía,1,758055509.0,CHOCO
2018.0,Departamento único,Cundinamarca,Consultoría,Concurso de méritos abierto,1,114163840.0,CUNDINAMARCA
2018.0,Departamento único,Cundinamarca,Interventoría,Concurso de méritos abierto,1,1049989290.0,CUNDINAMARCA
2018.0,Departamento único,Cundinamarca,Obra,Licitación pública,1,8337000000.0,CUNDINAMARCA
2018.0,Departamento único,Cundinamarca,Obra,Mínima cuantía,2,75220757.0,CUNDINAMARCA
2018.0,Departamento único,Cundinamarca,Otro,Mínima cuantía,1,12884130.0,CUNDINAMARCA
2018.0,Departamento único,Cundinamarca,Prestación de servicios,Mínima cuantía,1,6715170.0,CUNDINAMARCA
2018.0,Departamento único,Córdoba,Interventoría,Concurso de méritos abierto,1,1114561521.0,CORDOBA
2018.0,Departamento único,Córdoba,Obra,Licitación pública,1,27458000000.0,CORDOBA
2018.0,Departamento único,Córdoba,Obra,Mínima cuantía,5,191437733.0,CORDOBA
2018.0,Departamento único,Córdoba,Obra,Selección Abreviada de Menor Cuantía,1,135135676.0,CORDOBA
2018.0,Departamento único,Córdoba,Prestación de servicios,Mínima cuantía,3,17754729.0,CORDOBA
2018.0,Departamento único,Córdoba,Suministros,Mínima cuantía,3,182666817.26999998,CORDOBA
2018.0,Departamento único,Córdoba,Suministros,Selección abreviada subasta inversa,1,599934335.0,CORDOBA
2018.0,Departamento único,Guaviare,Interventoría,Concurso de méritos abierto,1,270349258.0,GUAVIARE
2018.0,Departamento único,Huila,Consultoría,Mínima cuantía,1,67814160.0,HUILA
2018.0,Departamento único,Huila,Interventoría,Concurso de méritos abierto,1,1199984768.0,HUILA
2018.0,Departamento único,Huila,Interventoría,Mínima cuantía,4,140428617.0,HUILA
2018.0,Departamento único,Huila,Obra,Mínima cuantía,7,352383851.98,HUILA
2018.0,Departamento único,Huila,Obra,Selección Abreviada de Menor Cuantía,5,2617703022.0,HUILA
2018.0,Departamento único,Huila,Prestación de servicios,Mínima cuantía,1,17312301.0,HUILA
2018.0,Departamento único,Huila,Suministros,Mínima cuantía,1,12216531.0,HUILA
2018.0,Departamento único,Huila,Suministros,Selección abreviada subasta inversa,1,248975241.0,HUILA
2018.0,Departamento único,Magdalena,Interventoría,Concurso de méritos abierto,1,1181711111.0,MAGDALENA
2018.0,Departamento único,Magdalena,Obra,Mínima cuantía,5,300237741.0,MAGDALENA
2018.0,Departamento único,Magdalena,Prestación de servicios,Mínima cuantía,2,28713144.0,MAGDALENA
2018.0,Departamento único,Meta,Interventoría,Concurso de méritos abierto,3,563207508.0,META
2018.0,Departamento único,Meta,Interventoría,Mínima cuantía,1,9933525.0,META
2018.0,Departamento único,Meta,Obra,Licitación pública,2,4108459287.0,META
2018.0,Departamento único,Meta,Obra,Mínima cuantía,9,402689492.1,META
2018.0,Departamento único,Meta,Obra,Selección Abreviada de Menor Cuantía,1,73946299.88,META
2018.0,Departamento único,Meta,Prestación de servicios,Mínima cuantía,1,21150767.0,META
