anio,contratos,valor,pct_contratos_trazables,pct_valor_trazable
2017.0,47.0,2460920503.48,46.8,28.8
2018.0,1070.0,1664193669325.44,37.6,94.1
2019.0,1253.0,1648932483835.79,55.1,73.4
2020.0,2037.0,4124798592446.54,46.8,85.3
2021.0,2019.0,12869867878028.889,41.3,94.7
2022.0,1504.0,2130403269382.45,38.3,93.1
2023.0,3871.0,1560645661846.44,50.7,76.0
2024.0,2952.0,2559604399877.13,58.0,76.3
2025.0,1613.0,922526077051.9401,27.6,46.3
2026.0,877.0,5789081269203.37,29.3,91.7
