id_contrato,objeto_del_contrato,departamento_inferido,asignacion_correcta,observacion
CO1.PCCNTR.6260659,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VIAS A CARGO DEL INSTITUTO NACIONAL DE VIA DIRECCION TERRITORIAL BOYACA SECTORES 6007 OTANCHE - CHIQUINQUIRÁ; PR62+0000 (PIEDARGORDA) - PR90+0150 (CHIQUINQUIRÁ LOTE 10.,Boyacá,,
CO1.PCCNTR.1184123,MANTENIMIENTO Y ADECUACIÓN DE INSTALACIONES LOCATIVAS CASA AUXILIAR SEDE LAS VEGAS UBICADA EN LA CALLE 44 No 55 A  29/35/41 TERRITORIAL META,Meta,,
CO1.PCCNTR.2063182,INTERVENTORÍA A LA CONSTRUCCIÓN DE LA PROLONGACIÓN DE LA PASARELA DE ACCESO AL MUELLE FLOTANTE VICTORIA REGIA; LETICIA; AMAZONAS,Amazonas,,
CO1.PCCNTR.5226097,HABILITAR Y/O BRINDAR TRANSITABILIDAD EN LA RED VIAL A CARGO DEL INVIAS; A TRAVÉS DEL SISTEMA DE MONTO AGOTABLE; EN VÍAS A CARGO DE LA DIRECCIÓN TERRITORIAL BOYACA,Boyacá,,
CO1.PCCNTR.1465923,AUNAR ESFUERZOS PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE EL GUACAMAYO; DEPARTAMENTO DE SANTANDER DEL PROGRAMA COLOMBIA RURAL,Santander,,
CO1.PCCNTR.6766322,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL DE EL SABALO DEL MUNICIPIO DE SAN MIGUEL; DEL DEPARTAMENTO DE PUTUMAYO PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Putumayo,,
CO1.PCCNTR.987813,ADMINISTRACIÓN VIAL DE LAS CARRETERAS A CARGO DE LA TERRITORIAL NARIÑO; MODULO 4; GRUPO 4.,Nariño,,
CO1.PCCNTR.5555685,INTERVENTORIA TECNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MEJORAMIENTO Y MANTENIMIENTO DE LAS VIAS RURALES EN LOS MUNICIPIOS DE SAN ANTONIO DEL TEQUENDAMA; MOSQUERA Y BOJACA DEL DEPARTAMENTO DE CUNDINAMARCA DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Cundinamarca,,
CO1.PCCNTR.1295902,PRESTAR SERVICIOS PROFESIONALES PARA DESARROLLAR TEMAS TÉCNICOSEN LA DIRECCIÓN TERRITORIAL ANTIOQUIA PARA EL DESARROLLO DEL PROYECTO DE INFRAESTRUCTURA PARA CONECTAR TERRITORIOS; GOBIERNOS Y POBLACIONES,Antioquia,,
CO1.PCCNTR.5327948,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL VEREDA TIGRERA; MUNICIPIO DE RIOHACHA DEL DEPARTAMENTO DE LA GUAJIRA; PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,La Guajira,,
CO1.PCCNTR.720253,ADMINISTRACION VIAL DE LAS CARRETERAS NACIONALES A CARGO DE LA DIRECCION TERRITORIAL NARIÑO MODULO 1 VIA TUMACO JUNIN  PR 0 + 000 AL PR 118 + 1006 VIA LA ESPRIELLA RIO MATAJE  SECTOR LA ESPRIELLA RIO MATAJE DEL PR 0 + 0000 AL PR 10 + 0400 LONGITUD DE 129.8 KILOMETROS,Nariño,,
CO1.PCCNTR.6979394,ADECUACIÓN DE LA SEDE A TRAVES DEL MANTENIMIENTO DE AIRES Y EQUIPOS SEDE TERRITORIAL SUCRE INVIAS,Sucre,,
CO1.PCCNTR.5019168,PRESTAR SERVICIOS PROFESIONALES PARA ATENDER ASUNTOS DE CARÁCTER TÉCNICO DE LOS PROGRAMAS; PROYECTOS; CONTRATOS Y/O CONVENIOS A CARGO DEL INVIAS EN LA DIRECCIÓN TERRITORIAL META,Meta,,
CO1.PCCNTR.6556497,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS Y LA JUNTA DE ACCIÓN COMUNAL DE LA VEREDA EL PRADO DEL MUNICIPIO DE SAN JOSÉ DEL FRAGUA; DEL DEPARTAMENTO DE CAQUETÁ PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Caquetá,,
CO1.PCCNTR.259308,PRESTACION DEL SERVICIO DE ASEO Y CAFETERÍA A TODO COSTO EN LA SEDE DE LA DIRECCION TERRITORIAL MAGDALENA DEL INSTITUTO NACIONAL DE VIAS - INVIAS,Magdalena,,
CO1.PCCNTR.6480020,ELABORACIÓN DE ENSAYOS DE LABORATORIO DE LOS PROYECTOS DE LAS VÍAS REGIONALES EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL A CARGO DE LA DIRECCION TERRITORIAL CASANARE,Casanare,,
CO1.PCCNTR.1208839,MANTENIMIENTO RUTINARIO EN LAS VÍAS A CARGO DEL INSTITUTO NACIONAL DE VÍAS; SECTOR 2003A ORRAPIHUASI-DEPRESIÓN EL VERGEL; PR0+0000 (ORRAPIHUASI) - PR41+0742 (DEPRESIÓN EL VERGEL) DIRECCION TERRITORIAL HUILA,Huila,,
CO1.PCCNTR.6816154,MEJORAMIENTO; MANTENIMIENTO DE LA VÍA EL CRUCERO - BAJO CALIMA EN EL DEPARTAMENTO DE VALLE DEL CAUCA  EN EL MARCO DEL PROGRAMA COLOMBIA AVANZA,Valle del Cauca,,
